"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"130378","43","40-49","1","6","5","5"
"130379","66","60+","1","3","5","5"
"130380","44","40-49","2","2","3","1.41"
"130381","5",NULL,"2","7",NULL,"1.53"
"130382","2",NULL,"1","3",NULL,"3.6"
"130383","3",NULL,"2","2",NULL,NULL
"130384","43","40-49","1","1","2","0.63"
"130385","65","60+","2","3","3","5"
"130386","34","30-39","1","1","4","1.33"
"130387","68","60+","2","3","5","1.32"
"130388","27","18-29","2","4","4","0.81"
"130389","59","50-59","1","3","5","5"
"130390","31","30-39","2","3","3","2.16"
"130391","33","30-39","2","3","3","0.93"
"130392","74","60+","2","3","5","3.04"
"130393","39","30-39","1","3","5","5"
"130394","51","50-59","1","3","5","5"
"130395","33","30-39","2","7","3","1.1"
"130396","56","50-59","2","3","4","4.82"
"130397","67","60+","2","3","3","4.48"
"130398","47","40-49","1","1","3","1.67"
"130399","68","60+","1","3","5","5"
"130400","26","18-29","1","2","3","0.91"
"130401","18","18-29","1","3",NULL,"3.36"
"130402","26","18-29","2","3","5","5"
"130403","12",NULL,"2","2",NULL,"5"
"130404","73","60+","2","3","4","4.42"
"130405","3",NULL,"2","4",NULL,"1.3"
"130406","26","18-29","2","3","3","3.22"
"130407","73","60+","2","3","5","4.37"
"130408","80","60+","1","4","2","1.02"
"130409","68","60+","1","3","4","3.14"
"130410","77","60+","2","3","1","3.62"
"130411","4",NULL,"1","3",NULL,"2.16"
"130412","7",NULL,"1","4",NULL,"0.63"
"130413","67","60+","2","2","2","0.05"
"130414","16",NULL,"1","1",NULL,"0.02"
"130415","61","60+","2","4","3","0.11"
"130416","59","50-59","2","2","3",NULL
"130417","58","50-59","2","3","4","5"
"130418","53","50-59","1","3","3","0.2"
"130419","18","18-29","2","6",NULL,"2.64"
"130420","18","18-29","1","3",NULL,"1.02"
"130421","13",NULL,"2","2",NULL,"2.09"
"130422","66","60+","1","3","4","3.82"
"130423","15",NULL,"1","2",NULL,"1.99"
"130424","19","18-29","2","3",NULL,NULL
"130425","68","60+","2","3","4","1.91"
"130426","67","60+","1","1","1","0.88"
"130427","80","60+","1","3","5","2.46"
"130428","2",NULL,"2","4",NULL,NULL
"130429","14",NULL,"1","3",NULL,"3.42"
"130430","27","18-29","2","3","5","3.43"
"130431","80","60+","2","1","1","1.19"
"130432","11",NULL,"1","7",NULL,"1.14"
"130433","14",NULL,"2","3",NULL,"5"
"130434","54","50-59","1","7","3","0.67"
"130435","17",NULL,"1","7",NULL,"5"
"130436","50","50-59","1","3","5","5"
"130437","43","40-49","2","3","4","1.09"
"130438","63","60+","1","2","3","5"
"130439","42","40-49","1","3","2","1.03"
"130440","19","18-29","2","3",NULL,"4.22"
"130441","33","30-39","2","6","5","5"
"130442","43","40-49","1","3","5","5"
"130443","41","40-49","1","3","1","0.65"
"130444","77","60+","2","3","3","4.36"
"130445","38","30-39","2","1","5","5"
"130446","57","50-59","1","4","4",NULL
"130447","14",NULL,"1","4",NULL,"5"
"130448","13",NULL,"2","1",NULL,"1.81"
"130449","26","18-29","2","3","4","3.47"
"130450","54","50-59","1","3","2","1.65"
"130451","6",NULL,"2","3",NULL,"0.53"
"130452","30","30-39","1","2","3",NULL
"130453","70","60+","1","3","3","3.82"
"130454","12",NULL,"1","1",NULL,"1.15"
"130455","2",NULL,"1","2",NULL,NULL
"130456","24","18-29","2","3","4","2.33"
"130457","38","30-39","2","3","5","5"
"130458","6",NULL,"2","6",NULL,"4.46"
"130459","41","40-49","2","3","4","0.44"
"130460","15",NULL,"1","3",NULL,"5"
"130461","71","60+","2","3","5","5"
"130462","27","18-29","1","3","3","1.12"
"130463","7",NULL,"1","7",NULL,"1.99"
"130464","72","60+","2","3","3","0.48"
"130465","77","60+","1","4","5","5"
"130466","69","60+","1","6","3",NULL
"130467","53","50-59","1","2","4","1.08"
"130468","28","18-29","2","3","5","5"
"130469","26","18-29","2","3","3","1.14"
"130470","64","60+","2","3","4",NULL
"130471","10",NULL,"1","3",NULL,"2.92"
"130472","11",NULL,"1","4",NULL,"0.86"
"130473","26","18-29","2","7","5","5"
"130474","55","50-59","2","3","4","5"
"130475","55","50-59","2","3","5","5"
"130476","30","30-39","2","3","4","2.11"
"130477","50","50-59","1","3","5","5"
"130478","69","60+","2","3","5",NULL
"130479","7",NULL,"1","4",NULL,"0.77"
"130480","16",NULL,"2","7",NULL,"1.13"
"130481","5",NULL,"1","3",NULL,"2.68"
"130482","17",NULL,"2","3",NULL,NULL
"130483","27","18-29","1","3","3","1.14"
"130484","22","18-29","2","3","5","1.27"
"130485","76","60+","1","1","3","1.29"
"130486","22","18-29","1","3","4","0.44"
"130487","72","60+","2","4","3","0.12"
"130488","11",NULL,"1","4",NULL,"0.03"
"130489","57","50-59","1","2","2","2.73"
"130490","4",NULL,"2","4",NULL,"1.15"
"130491","69","60+","2","7","4","0.79"
"130492","18","18-29","2","3",NULL,"2.98"
"130493","72","60+","2","3","5",NULL
"130494","73","60+","2","3","4","1.52"
"130495","60","60+","1","3","3","0.96"
"130496","40","40-49","1","3","4","5"
"130497","74","60+","1","3","3","2.06"
"130498","10",NULL,"1","2",NULL,"0.41"
"130499","14",NULL,"1","3",NULL,"2.67"
"130500","60","60+","2","4","5","3.97"
"130501","8",NULL,"1","4",NULL,"2.82"
"130502","71","60+","1","3","5","4.06"
"130503","75","60+","1","3","5","3.44"
"130504","67","60+","2","7","5","3.43"
"130505","59","50-59","1","3","3","0.42"
"130506","22","18-29","2","4","4","2.43"
"130507","1",NULL,"2","3",NULL,"1.7"
"130508","69","60+","2","3","3","0.73"
"130509","51","50-59","2","7","4","5"
"130510","9",NULL,"1","3",NULL,"2.09"
"130511","5",NULL,"1","1",NULL,"1.98"
"130512","80","60+","2","4","3","0.7"
"130513","11",NULL,"1","3",NULL,"5"
"130514","15",NULL,"2","3",NULL,"2.92"
"130515","54","50-59","2","2","4","1.64"
"130516","30","30-39","2","3","4","0.65"
"130517","30","30-39","1","3","4","3.02"
"130518","5",NULL,"2","4",NULL,NULL
"130519","80","60+","2","3","3",NULL
"130520","29","18-29","1","4","5","5"
"130521","9",NULL,"2","2",NULL,"0.91"
"130522","58","50-59","1","3","1","1.46"
"130523","61","60+","2","3","5","5"
"130524","14",NULL,"1","3",NULL,"0.96"
"130525","70","60+","1","3","5",NULL
"130526","15",NULL,"2","3",NULL,"2.92"
"130527","79","60+","1","3","5","4.31"
"130528","17",NULL,"2","4",NULL,NULL
"130529","6",NULL,"1","3",NULL,NULL
"130530","69","60+","2","3","5","1.23"
"130531","11",NULL,"2","4",NULL,"0.05"
"130532","10",NULL,"1","6",NULL,"3.02"
"130533","80","60+","1","3","4","4.71"
"130534","10",NULL,"1","3",NULL,"1.83"
"130535","7",NULL,"2","6",NULL,"0.58"
"130536","9",NULL,"2","2",NULL,"1.13"
"130537","62","60+","1","3","4","3.58"
"130538","63","60+","1","3","5","5"
"130539","15",NULL,"2","6",NULL,"5"
"130540","31","30-39","2","7","2","0.86"
"130541","30","30-39","2","3","5",NULL
"130542","17",NULL,"2","1",NULL,"0.87"
"130543","14",NULL,"1","2",NULL,"1.29"
"130544","46","40-49","2","3","5","4.02"
"130545","32","30-39","1","4","3",NULL
"130546","24","18-29","1","7","2",NULL
"130547","78","60+","1","3","5","5"
"130548","5.397605346934028e-79",NULL,"1","3",NULL,"5"
"130549","43","40-49","1","1","1","2.33"
"130550","66","60+","2","3","5","5"
"130551","1",NULL,"1","7",NULL,"3.17"
"130552","54","50-59","2","4","2","0.92"
"130553","28","18-29","2","4","4","5"
"130554","77","60+","2","3","3",NULL
"130555","64","60+","1","3","5","5"
"130556","15",NULL,"2","3",NULL,"1.57"
"130557","62","60+","1","3","4","3.57"
"130558","69","60+","1","3","4","0.92"
"130559","66","60+","1","3","5","5"
"130560","41","40-49","2","2","4","2.52"
"130561","8",NULL,"2","7",NULL,"1.85"
"130562","63","60+","2","1","1","0.51"
"130563","78","60+","1","2","5","4.62"
"130564","2",NULL,"1","2",NULL,"0.43"
"130565","3",NULL,"2","7",NULL,NULL
"130566","66","60+","1","3","5","0.07"
"130567","39","30-39","2","3","4","1.82"
"130568","80","60+","2","2","5","1.94"
"130569","47","40-49","2","1","2","1.41"
"130570","56","50-59","1","2","2","1.2"
"130571","77","60+","2","3","4",NULL
"130572","24","18-29","1","7","3","1.79"
"130573","65","60+","2","6","2","3.97"
"130574","20","18-29","2","1","3",NULL
"130575","15",NULL,"1","6",NULL,NULL
"130576","50","50-59","1","2","4","0.18"
"130577","61","60+","2","4","2","1.66"
"130578","51","50-59","2","4","3","3.24"
"130579","80","60+","1","3","5","5"
"130580","51","50-59","1","2","2",NULL
"130581","1",NULL,"1","2",NULL,"0.3"
"130582","32","30-39","1","7","5","2.16"
"130583","2",NULL,"2","3",NULL,"1.91"
"130584","11",NULL,"1","2",NULL,"2.88"
"130585","60","60+","1","4","5","2.61"
"130586","8",NULL,"2","6",NULL,"1.37"
"130587","18","18-29","2","1",NULL,"1.72"
"130588","32","30-39","2","4","5","2.61"
"130589","58","50-59","1","4","3","0.69"
"130590","51","50-59","2","3","5","4.08"
"130591","16",NULL,"1","4",NULL,NULL
"130592","62","60+","2","3","5","5"
"130593","79","60+","1","3","2","2.41"
"130594","12",NULL,"2","4",NULL,"1.13"
"130595","25","18-29","1","4","3",NULL
"130596","66","60+","2","2","4",NULL
"130597","57","50-59","2","4","4","2.17"
"130598","60","60+","1","3","3","5"
"130599","54","50-59","2","2","1","2.17"
"130600","42","40-49","1","4","2","0.57"
"130601","56","50-59","2","3","3","4.54"
"130602","7",NULL,"2","6",NULL,"5"
"130603","75","60+","1","3","2","4.17"
"130604","61","60+","2","3","4","2.31"
"130605","1",NULL,"2","3",NULL,"1.97"
"130606","29","18-29","2","3","3","4.68"
"130607","36","30-39","2","1","4","0.61"
"130608","5",NULL,"1","1",NULL,"1.71"
"130609","40","40-49","2","2","5",NULL
"130610","22","18-29","1","3","5",NULL
"130611","70","60+","2","3","5",NULL
"130612","52","50-59","1","7","5","2.18"
"130613","13",NULL,"2","3",NULL,NULL
"130614","8",NULL,"1","3",NULL,NULL
"130615","16",NULL,"2","1",NULL,"0.69"
"130616","43","40-49","1","3","5","5"
"130617","36","30-39","2","3","5","5"
"130618","48","40-49","1","3","5","5"
"130619","27","18-29","1","7","3","0.87"
"130620","76","60+","1","4","4","1.84"
"130621","68","60+","1","3","5","5"
"130622","12",NULL,"2","3",NULL,"1.49"
"130623","46","40-49","2","3","5","3.7"
"130624","5",NULL,"1","4",NULL,"0.93"
"130625","13",NULL,"1","3",NULL,"2.85"
"130626","69","60+","2","3","4","3.3"
"130627","73","60+","1","3","3","3"
"130628","22","18-29","1","2","4","2.52"
"130629","73","60+","1","3","5","5"
"130630","17",NULL,"2","3",NULL,"3.47"
"130631","29","18-29","1","2","3",NULL
"130632","5.397605346934028e-79",NULL,"1","4",NULL,"0.93"
"130633","47","40-49","1","3","3","2.85"
"130634","51","50-59","2","3","4","2.82"
"130635","14",NULL,"2","3",NULL,"5"
"130636","57","50-59","2","7","4",NULL
"130637","61","60+","1","1","4","5"
"130638","17",NULL,"1","4",NULL,"1.01"
"130639","4",NULL,"2","3",NULL,"1.41"
"130640","31","30-39","2","4","4","0.23"
"130641","5.397605346934028e-79",NULL,"1","7",NULL,"3.22"
"130642","43","40-49","1","6","5","5"
"130643","73","60+","1","4","4",NULL
"130644","30","30-39","2","1","5","3.02"
"130645","47","40-49","2","2","4","0.39"
"130646","79","60+","2","3","5",NULL
"130647","65","60+","1","7","4","1.04"
"130648","12",NULL,"2","3",NULL,"5"
"130649","40","40-49","2","3","2","0.85"
"130650","2",NULL,"2","4",NULL,NULL
"130651","80","60+","2","3","3","3.68"
"130652","34","30-39","1","3","4","1.97"
"130653","11",NULL,"2","4",NULL,"2"
"130654","72","60+","2","1","4","2.29"
"130655","69","60+","1","3","5","5"
"130656","64","60+","2","2","1","1.01"
"130657","3",NULL,"1","3",NULL,NULL
"130658","69","60+","1","2","3","0.77"
"130659","55","50-59","1","3","5",NULL
"130660","5",NULL,"1","7",NULL,"4.56"
"130661","16",NULL,"1","1",NULL,"2.69"
"130662","52","50-59","2","4","3","0.85"
"130663","76","60+","2","2","5","2.73"
"130664","37","30-39","1","3","3","0.89"
"130665","55","50-59","2","1","4","0.88"
"130666","57","50-59","1","3","3","3.28"
"130667","36","30-39","1","4","4",NULL
"130668","34","30-39","2","3","4","1.35"
"130669","80","60+","2","3","3","5"
"130670","70","60+","2","3","4","1.61"
"130671","25","18-29","2","3","4","1.84"
"130672","15",NULL,"1","7",NULL,"3.15"
"130673","12",NULL,"1","6",NULL,NULL
"130674","68","60+","2","3","4","2.21"
"130675","67","60+","2","2","4","5"
"130676","25","18-29","2","1","5","1.37"
"130677","10",NULL,"2","3",NULL,NULL
"130678","45","40-49","1","3","5",NULL
"130679","5",NULL,"1","4",NULL,"0.56"
"130680","12",NULL,"2","3",NULL,"2.03"
"130681","37","30-39","2","4","5",NULL
"130682","9",NULL,"1","3",NULL,"0.51"
"130683","62","60+","2","3","4","5"
"130684","16",NULL,"2","3",NULL,"2.98"
"130685","5",NULL,"2","1",NULL,NULL
"130686","58","50-59","1","4","2","1.4"
"130687","73","60+","1","3","4","2.13"
"130688","72","60+","2","7","5","2.17"
"130689","8",NULL,"2","3",NULL,"2.43"
"130690","61","60+","1","2","3",NULL
"130691","32","30-39","2","3","5","5"
"130692","44","40-49","2","7","4","3.18"
"130693","14",NULL,"1","2",NULL,"0.83"
"130694","27","18-29","1","4","2","1.15"
"130695","12",NULL,"1","3",NULL,"2.21"
"130696","1",NULL,"2","7",NULL,"1.22"
"130697","20","18-29","2","3","3","1.91"
"130698","15",NULL,"2","3",NULL,"1.44"
"130699","5",NULL,"1","7",NULL,"4"
"130700","11",NULL,"2","7",NULL,"0.49"
"130701","33","30-39","2","6","5","3.09"
"130702","7",NULL,"2","3",NULL,"3.24"
"130703","51","50-59","2","7","2","1.09"
"130704","66","60+","1","4","3","0.88"
"130705","64","60+","1","3","5","5"
"130706","2",NULL,"1","2",NULL,"1.14"
"130707","22","18-29","2","3","5","4.37"
"130708","58","50-59","2","3","4","5"
"130709","4",NULL,"2","3",NULL,"2.85"
"130710","77","60+","2","3","4","2.87"
"130711","28","18-29","2","2","3","1.44"
"130712","46","40-49","1","7","3","5.397605346934028e-79"
"130713","69","60+","1","3","5","4.42"
"130714","8",NULL,"1","7",NULL,"0.75"
"130715","48","40-49","1","3","3","3.88"
"130716","5",NULL,"2","2",NULL,"1.03"
"130717","68","60+","2","4","4","2.13"
"130718","65","60+","1","1","2","1.51"
"130719","54","50-59","1","3","3",NULL
"130720","46","40-49","2","3","4","0.79"
"130721","14",NULL,"1","7",NULL,"0.41"
"130722","62","60+","2","3","4","1.75"
"130723","76","60+","1","7","5","1.85"
"130724","68","60+","2","3","5","5"
"130725","15",NULL,"2","3",NULL,"1.99"
"130726","29","18-29","2","7","3",NULL
"130727","8",NULL,"2","3",NULL,NULL
"130728","13",NULL,"1","3",NULL,"5"
"130729","19","18-29","2","1",NULL,"0.24"
"130730","76","60+","2","3","5","5"
"130731","2",NULL,"1","1",NULL,"1.81"
"130732","6",NULL,"1","3",NULL,"5"
"130733","68","60+","2","7","5","2.57"
"130734","40","40-49","1","3","4","2.58"
"130735","10",NULL,"2","1",NULL,NULL
"130736","1",NULL,"1","3",NULL,NULL
"130737","2",NULL,"2","3",NULL,"4.33"
"130738","80","60+","1","3","3",NULL
"130739","64","60+","1","1","2","1.26"
"130740","4",NULL,"1","2",NULL,"5"
"130741","29","18-29","2","4","5","2.82"
"130742","62","60+","2","3","5","4.57"
"130743","80","60+","1","3","4",NULL
"130744","33","30-39","2","1","5","1.81"
"130745","38","30-39","2","1","4","1.85"
"130746","45","40-49","2","4","3","0.86"
"130747","50","50-59","1","3","5",NULL
"130748","68","60+","1","4","5","4.31"
"130749","34","30-39","2","3","5","5"
"130750","80","60+","2","3","3","1.16"
"130751","6",NULL,"2","2",NULL,"0.01"
"130752","68","60+","2","7","1","0.18"
"130753","57","50-59","2","7","4","5.397605346934028e-79"
"130754","62","60+","1","3","2","5.397605346934028e-79"
"130755","4",NULL,"1","3",NULL,"1.05"
"130756","4",NULL,"1","1",NULL,"0.91"
"130757","9",NULL,"1","3",NULL,"3.41"
"130758","15",NULL,"1","3",NULL,NULL
"130759","65","60+","1","3","4","1.03"
"130760","36","30-39","1","3","5","4.32"
"130761","43","40-49","2","3","4","1.91"
"130762","28","18-29","2","2","4",NULL
"130763","13",NULL,"2","3",NULL,NULL
"130764","22","18-29","2","2","4","0.34"
"130765","14",NULL,"2","1",NULL,"3.33"
"130766","80","60+","1","4","1",NULL
"130767","70","60+","2","4","5","1.62"
"130768","71","60+","2","3","4","1.23"
"130769","22","18-29","1","3","4","1.48"
"130770","4",NULL,"2","3",NULL,"3.13"
"130771","57","50-59","1","4","3","1.61"
"130772","5",NULL,"2","3",NULL,"3.41"
"130773","11",NULL,"2","3",NULL,"1.55"
"130774","50","50-59","2","3","4","0.23"
"130775","67","60+","1","3","5","5"
"130776","40","40-49","2","2","3","0.75"
"130777","30","30-39","1","3","3","5.397605346934028e-79"
"130778","15",NULL,"1","3",NULL,"5"
"130779","19","18-29","2","3",NULL,"4.88"
"130780","58","50-59","2","4","2","1.39"
"130781","66","60+","1","4","4","1.84"
"130782","43","40-49","1","3","5","5"
"130783","11",NULL,"2","3",NULL,"0.84"
"130784","4",NULL,"2","1",NULL,"0.72"
"130785","33","30-39","1","4","3","1.69"
"130786","73","60+","2","3","5",NULL
"130787","80","60+","2","3","5","2.47"
"130788","39","30-39","1","3","5","5"
"130789","15",NULL,"1","2",NULL,"2.26"
"130790","5",NULL,"1","2",NULL,"0.83"
"130791","52","50-59","2","3","5","3.22"
"130792","12",NULL,"2","4",NULL,"3.69"
"130793","71","60+","1","3","3",NULL
"130794","4",NULL,"2","4",NULL,"2.39"
"130795","14",NULL,"1","3",NULL,"5"
"130796","47","40-49","1","3","3","3.45"
"130797","73","60+","1","3","5","5"
"130798","7",NULL,"2","3",NULL,NULL
"130799","47","40-49","2","4","3",NULL
"130800","28","18-29","2","4","5",NULL
"130801","56","50-59","1","2","3","0.88"
"130802","63","60+","2","3","5","4.37"
"130803","4",NULL,"1","2",NULL,"3.37"
"130804","52","50-59","1","3","1","0.92"
"130805","35","30-39","2","3","3","0.65"
"130806","77","60+","2","6","2","3.11"
"130807","60","60+","2","4","3","0.66"
"130808","12",NULL,"1","3",NULL,NULL
"130809","80","60+","1","6","4","1.16"
"130810","69","60+","1","3","4","1.44"
"130811","59","50-59","1","2","5","0.85"
"130812","5.397605346934028e-79",NULL,"2","7",NULL,"2.39"
"130813","13",NULL,"2","1",NULL,"5.397605346934028e-79"
"130814","22","18-29","2","3","5","4.62"
"130815","51","50-59","1","4","5","2.58"
"130816","12",NULL,"1","4",NULL,"1.09"
"130817","4",NULL,"2","3",NULL,NULL
"130818","36","30-39","2","3","3","2.8"
"130819","4",NULL,"1","7",NULL,"0.97"
"130820","3",NULL,"1","3",NULL,"2.7"
"130821","71","60+","2","3","3","5"
"130822","8",NULL,"2","3",NULL,"1.71"
"130823","11",NULL,"1","3",NULL,"5"
"130824","8",NULL,"1","3",NULL,"2.54"
"130825","14",NULL,"2","7",NULL,"1.61"
"130826","79","60+","2","3","4","3.3"
"130827","33","30-39","1","3","4","5"
"130828","22","18-29","2","6","2","5.397605346934028e-79"
"130829","73","60+","2","3","2","3.55"
"130830","62","60+","1","3","5","4.23"
"130831","16",NULL,"1","3",NULL,"5"
"130832","63","60+","2","3","3","2.25"
"130833","42","40-49","2","3","5","3.68"
"130834","30","30-39","1","3","4",NULL
"130835","45","40-49","2","3","5","5"
"130836","61","60+","1","3","3","1.13"
"130837","44","40-49","2","4","4","2"
"130838","60","60+","1","3","4","5"
"130839","56","50-59","1","1","3","0.88"
"130840","16",NULL,"1","2",NULL,"1.4"
"130841","79","60+","2","3","4","1.85"
"130842","27","18-29","1","3","4","4.83"
"130843","46","40-49","1","3","4","1.1"
"130844","43","40-49","2","3","4","5"
"130845","72","60+","1","3","5","5"
"130846","16",NULL,"2","2",NULL,"0.02"
"130847","74","60+","1","3","3","1.69"
"130848","33","30-39","2","3","4",NULL
"130849","6",NULL,"1","1",NULL,"1.44"
"130850","13",NULL,"2","1",NULL,"0.88"
"130851","8",NULL,"1","3",NULL,"5"
"130852","3",NULL,"1","3",NULL,NULL
"130853","2",NULL,"1","6",NULL,"5"
"130854","80","60+","2","6","1",NULL
"130855","14",NULL,"2","4",NULL,"1.91"
"130856","80","60+","1","3","3","3.28"
"130857","13",NULL,"2","7",NULL,"2.17"
"130858","4",NULL,"2","3",NULL,NULL
"130859","4",NULL,"2","3",NULL,"4.43"
"130860","50","50-59","1","3","5","5"
"130861","78","60+","2","3","5","4.92"
"130862","10",NULL,"2","2",NULL,"0.48"
"130863","80","60+","1","3","4","5"
"130864","52","50-59","1","3","1",NULL
"130865","65","60+","2","3","5","3.3"
"130866","11",NULL,"2","2",NULL,"5"
"130867","49","40-49","2","3","3","0.94"
"130868","23","18-29","1","3","4","2.94"
"130869","1",NULL,"2","1",NULL,NULL
"130870","80","60+","2","3","5",NULL
"130871","65","60+","2","3","4","5"
"130872","57","50-59","2","4","2",NULL
"130873","12",NULL,"1","4",NULL,"0.61"
"130874","19","18-29","2","3",NULL,"3.36"
"130875","71","60+","1","3","4","2.54"
"130876","4",NULL,"2","3",NULL,"4.5"
"130877","10",NULL,"2","1",NULL,"2.2"
"130878","39","30-39","2","3","4","2.88"
"130879","30","30-39","2","1","3","1.75"
"130880","67","60+","1","3","4","3.82"
"130881","46","40-49","2","3","5","5"
"130882","60","60+","1","2","4","3.69"
"130883","40","40-49","2","1","2","2.5"
"130884","64","60+","2","3","5","5"
"130885","64","60+","1","6","5","5"
"130886","2",NULL,"2","3",NULL,"5"
"130887","4",NULL,"2","7",NULL,"1.31"
"130888","12",NULL,"2","3",NULL,"3.07"
"130889","16",NULL,"1","2",NULL,"0.96"
"130890","28","18-29","1","3","3","2.15"
"130891","3",NULL,"2","3",NULL,"2.17"
"130892","70","60+","2","3","5","4.69"
"130893","46","40-49","2","3","4","1.16"
"130894","6",NULL,"1","4",NULL,"0.87"
"130895","34","30-39","2","3","3","1.12"
"130896","2",NULL,"1","2",NULL,"2.26"
"130897","29","18-29","1","1","3",NULL
"130898","13",NULL,"1","3",NULL,"3.77"
"130899","51","50-59","2","3","5","5"
"130900","49","40-49","2","7","5","4.68"
"130901","79","60+","2","3","1","1.64"
"130902","8",NULL,"1","7",NULL,"0.92"
"130903","13",NULL,"2","2",NULL,NULL
"130904","28","18-29","1","3","5","5"
"130905","9",NULL,"1","2",NULL,"5"
"130906","13",NULL,"2","1",NULL,"0.66"
"130907","80","60+","2","4","3","1.11"
"130908","57","50-59","1","3","4","2.21"
"130909","59","50-59","2","3","5","3.42"
"130910","32","30-39","1","7","4","0.72"
"130911","67","60+","2","3","5","2.81"
"130912","43","40-49","2","4","3","0.55"
"130913","37","30-39","1","3","5","5"
"130914","40","40-49","2","2","3","0.04"
"130915","31","30-39","1","3","5","5"
"130916","9",NULL,"2","2",NULL,NULL
"130917","80","60+","1","6","2",NULL
"130918","44","40-49","1","6","5","5"
"130919","7",NULL,"2","3",NULL,"2.75"
"130920","52","50-59","2","3","3","2.19"
"130921","37","30-39","1","7","4","0.41"
"130922","44","40-49","2","3","5","5"
"130923","77","60+","2","3","4",NULL
"130924","41","40-49","2","3","5","3.06"
"130925","3",NULL,"2","3",NULL,"2.39"
"130926","66","60+","2","6","5","5"
"130927","8",NULL,"1","7",NULL,"0.04"
"130928","14",NULL,"2","2",NULL,"4.1"
"130929","5.397605346934028e-79",NULL,"1","3",NULL,"4.34"
"130930","62","60+","1","7","4","1.48"
"130931","61","60+","1","1","4","2.07"
"130932","49","40-49","1","4","4","0.27"
"130933","23","18-29","1","3","2","0.58"
"130934","37","30-39","1","6","4","2.17"
"130935","32","30-39","1","3","3","2.21"
"130936","63","60+","2","3","4","4.05"
"130937","5.397605346934028e-79",NULL,"1","7",NULL,"0.38"
"130938","80","60+","1","3","2","0.96"
"130939","33","30-39","2","4","4",NULL
"130940","48","40-49","2","3","5",NULL
"130941","45","40-49","2","3","5","2.34"
"130942","65","60+","1","4","3",NULL
"130943","70","60+","2","3","4","1.69"
"130944","30","30-39","2","4","4","1.09"
"130945","80","60+","2","1","1",NULL
"130946","30","30-39","2","3","5","5"
"130947","66","60+","2","3","1","3.23"
"130948","80","60+","2","2","1","0.43"
"130949","12",NULL,"2","3",NULL,"0.73"
"130950","60","60+","2","7","3","0.13"
"130951","27","18-29","2","3","5","5"
"130952","32","30-39","1","3","4","5"
"130953","80","60+","2","3","4",NULL
"130954","3",NULL,"1","3",NULL,"4.31"
"130955","17",NULL,"1","2",NULL,"0.76"
"130956","43","40-49","1","3","4","2.16"
"130957","13",NULL,"2","3",NULL,"2.96"
"130958","3",NULL,"1","3",NULL,"0.87"
"130959","11",NULL,"1","1",NULL,"0.72"
"130960","69","60+","2","3","5","3.3"
"130961","29","18-29","1","3","5","5"
"130962","17",NULL,"1","4",NULL,"2.48"
"130963","18","18-29","1","2",NULL,"0.52"
"130964","58","50-59","2","3","5","5"
"130965","70","60+","1","3","4","4.37"
"130966","51","50-59","2","3","5","5"
"130967","32","30-39","2","4","3",NULL
"130968","35","30-39","2","2","5","2.38"
"130969","17",NULL,"1","1",NULL,"1.22"
"130970","76","60+","1","4","4","3.28"
"130971","8",NULL,"1","3",NULL,"5"
"130972","37","30-39","2","4","4","1.39"
"130973","4",NULL,"1","4",NULL,"0.16"
"130974","43","40-49","1","1","1",NULL
"130975","34","30-39","1","6","5",NULL
"130976","13",NULL,"2","1",NULL,"0.87"
"130977","59","50-59","1","3","3","0.03"
"130978","75","60+","1","7","3","2.75"
"130979","3",NULL,"2","7",NULL,NULL
"130980","71","60+","1","4","2","0.37"
"130981","51","50-59","2","1","4","0.96"
"130982","71","60+","2","3","3",NULL
"130983","50","50-59","2","7","5","5"
"130984","35","30-39","1","3","5","5"
"130985","23","18-29","1","6","5","2.74"
"130986","62","60+","1","4","3","5"
"130987","3",NULL,"2","1",NULL,"5"
"130988","15",NULL,"2","4",NULL,"1.71"
"130989","1",NULL,"2","6",NULL,"2.63"
"130990","8",NULL,"2","7",NULL,"2"
"130991","19","18-29","1","3",NULL,"3.42"
"130992","28","18-29","1","3","4","2.47"
"130993","6",NULL,"1","7",NULL,"5"
"130994","60","60+","2","1","1",NULL
"130995","33","30-39","2","2","3","2.43"
"130996","59","50-59","2","4","4","2.8"
"130997","14",NULL,"1","3",NULL,"0.81"
"130998","12",NULL,"1","4",NULL,"0.27"
"130999","3",NULL,"2","7",NULL,"0.64"
"131000","52","50-59","2","1","4","2.28"
"131001","23","18-29","2","3","4","1.53"
"131002","63","60+","2","4","5","5"
"131003","65","60+","1","7","5",NULL
"131004","25","18-29","1","1","5","5"
"131005","64","60+","1","7","2","1.94"
"131006","34","30-39","2","4","5","4.42"
"131007","67","60+","2","2","4","4.55"
"131008","12",NULL,"2","6",NULL,NULL
"131009","16",NULL,"2","2",NULL,"0.61"
"131010","73","60+","2","3","3","2.32"
"131011","63","60+","2","6","5","1.8"
"131012","58","50-59","1","3","5","5"
"131013","64","60+","1","3","4","1.58"
"131014","73","60+","1","3","4","3.29"
"131015","11",NULL,"1","4",NULL,NULL
"131016","37","30-39","1","3","2","0.96"
"131017","36","30-39","2","3","5","5"
"131018","13",NULL,"1","1",NULL,"1.08"
"131019","46","40-49","2","4","2",NULL
"131020","61","60+","1","6","1","0.74"
"131021","80","60+","1","3","4","3.26"
"131022","11",NULL,"2","3",NULL,"0.06"
