"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"136644","51","50-59","2","1","3","0.69"
"136645","65","60+","1","3","5","5"
"136646","17",NULL,"2","2",NULL,"1.64"
"136647","60","60+","2","3","2",NULL
"136648","9",NULL,"2","4",NULL,NULL
"136649","43","40-49","1","2","2","0.12"
"136650","68","60+","1","3","5","2.5"
"136651","26","18-29","1","1","2","1.21"
"136652","65","60+","2","3","4","5"
"136653","5",NULL,"2","1",NULL,NULL
"136654","22","18-29","2","4","2","0.23"
"136655","72","60+","1","3","5","5"
"136656","63","60+","2","3","1","1.18"
"136657","44","40-49","2","3","5","4.94"
"136658","24","18-29","1","3","3","5"
"136659","1",NULL,"1","3",NULL,"3.72"
"136660","77","60+","2","4","2",NULL
"136661","50","50-59","2","7","3","1.64"
"136662","5",NULL,"2","4",NULL,"1.82"
"136663","64","60+","2","3","4",NULL
"136664","61","60+","1","2","3","0.87"
"136665","78","60+","2","3","2","0.57"
"136666","9",NULL,"1","1",NULL,"1.94"
"136667","36","30-39","2","3","4","1.57"
"136668","70","60+","1","2","5","2.48"
"136669","34","30-39","2","1","4",NULL
"136670","19","18-29","2","3",NULL,"4.31"
"136671","57","50-59","1","3","5","3.82"
"136672","5.397605346934028e-79",NULL,"1","6",NULL,"2.36"
"136673","33","30-39","2","2","1","0.01"
"136674","10",NULL,"2","7",NULL,"2.83"
"136675","65","60+","2","3","5","5"
"136676","80","60+","2","4","2",NULL
"136677","71","60+","1","3","5",NULL
"136678","15",NULL,"2","3",NULL,"3.71"
"136679","73","60+","1","3","4","4.37"
"136680","5.397605346934028e-79",NULL,"1","6",NULL,"5"
"136681","22","18-29","1","1","4",NULL
"136682","80","60+","1","3","5","5"
"136683","64","60+","1","3","3","1.25"
"136684","11",NULL,"2","3",NULL,"1.42"
"136685","43","40-49","2","2","4","0.97"
"136686","64","60+","2","3","5","3.68"
"136687","14",NULL,"2","1",NULL,"5.397605346934028e-79"
"136688","27","18-29","2","3","5","1.47"
"136689","5.397605346934028e-79",NULL,"1","7",NULL,"0.92"
"136690","9",NULL,"2","3",NULL,"3.38"
"136691","67","60+","1","4","2",NULL
"136692","67","60+","1","3","5",NULL
"136693","45","40-49","2","3","4","3.27"
"136694","35","30-39","2","6","5","1.05"
"136695","64","60+","2","4","2","0.21"
"136696","57","50-59","2","2","5","2.4"
"136697","34","30-39","2","4","4","1.82"
"136698","32","30-39","2","2","3","1.31"
