term,OR,CI_lower,CI_upper
Intercept,0.193,0.145,0.257
C(sex)[T.2],1.049,0.886,1.242
C(educ_level)[T.2.0],0.858,0.592,1.245
C(educ_level)[T.3.0],1.0,,
C(educ_level)[T.4.0],1.098,0.873,1.381
C(educ_level)[T.5.0],1.505,1.204,1.881
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],1.834,1.378,2.442
C(smoke_status)[T.never],1.267,0.955,1.682
dpq_total_std,1.05,0.959,1.15
log_hscrp_std,0.741,0.65,0.843
