term,OR,CI_lower,CI_upper
Intercept,0.048,0.006,0.388
C(sex)[T.2],1.0,,
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.865,0.07,10.68
C(educ_level)[T.4.0],0.662,0.056,7.836
C(educ_level)[T.5.0],1.0,,
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],1.0,,
C(smoke_status)[T.never],1.0,,
dpq_total_std,1.0,,
log_hscrp_std,0.602,0.253,1.436
pir,0.729,0.354,1.5
