term,OR_weighted,W_CI_lower,W_CI_upper,OR_unweighted,U_CI_lower,U_CI_upper
high_crp,0.9099347849858702,0.5250749454007425,1.576882157832456,1.0157556728985357,0.5983258882544374,1.7244107388293424
Intercept,0.029807637283748186,,,0.029364655632674708,,
