term,OR,CI_lower,CI_upper
Intercept,0.035,0.006,0.208
C(sex)[T.2],1.0,,
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.999,0.168,5.931
C(educ_level)[T.4.0],1.0,,
C(educ_level)[T.5.0],0.499,0.042,5.912
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],1.0,,
C(smoke_status)[T.never],0.818,0.159,4.199
dpq_total_std,0.796,0.327,1.936
log_hscrp_std,1.771,0.974,3.22
pir,0.936,0.508,1.727
