term,OR,CI_lower,CI_upper
Intercept,0.152,0.046,0.497
C(sex)[T.2],1.0,,
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],1.0,,
C(educ_level)[T.4.0],1.0,,
C(educ_level)[T.5.0],1.0,,
C(smoke_status)[T.former],1.0,,
C(smoke_status)[T.never],1.0,,
dpq_total_std,1.0,,
log_hscrp_std,1.0,,
pir,0.584,0.302,1.129
