term,OR_weighted,W_CI_lower,W_CI_upper,OR_unweighted,U_CI_lower,U_CI_upper
high_stress,0.6698299764908668,0.268712375014991,1.6697117033807045,1.0338983050847463,0.48827708797753266,2.1892194648836303
Intercept,0.031141125330339275,,,0.031200423056583822,,
