term,OR,CI_lower,CI_upper
Intercept,0.013,0.003,0.052
C(sex)[T.2],1.0,,
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.687,0.14,3.361
C(educ_level)[T.4.0],1.0,,
C(educ_level)[T.5.0],0.593,0.172,2.042
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],1.0,,
C(smoke_status)[T.never],1.0,,
C(race_eth)[T.2],1.0,,
C(race_eth)[T.3],1.665,0.509,5.445
C(race_eth)[T.4],0.696,0.076,6.358
C(race_eth)[T.6],1.0,,
C(race_eth)[T.7],1.0,,
dpq_total_std,0.857,0.49,1.5
log_hscrp_std,0.878,0.511,1.508
pir,1.05,0.73,1.512
